#,Company Name,Company Website,Sector Classification,Brief Company Description,HQ Location,Where will roles be located? (post COVID-19),Stage - Series,Current Team Size,Link to Job Postings,Apprx. Total Roles Open,Open to Part-time or Internships?,Engineering,Design,Operations,Sales and Marketing,"Other (PM, Data Science, Legal, etc)",Software Engineer,Frontend Engineer,Backend Engineer,Full Stack Engineer,Mobile Developer,QA Engineer,DevOps,Software Architect,Hardware Engineer,Mechanical Engineer,Systems Engineer,UI/UX Designer,User Researcher,Visual Designer,Creative Director,Finance/ Accounting,Human Resources,Office Manager,Talent/Recruiting,Customer Service,Operations Manager,Executive Assistant,Business Development Representative,Sales Development Representative,Account Executive,Business Development Manager,Account Manager,Sales Manager,Marketer,Marketing Manager,Growth,Customer Success,Business Analyst,Data Scientist,Product Manager,Project Manager,Attorney
73,Otter.ai,https://otter.ai,Enterprise Technology,"Otter.ai's mission is to make all-important voice conversations and meeting notes accessible and searchable through Ambient Voice Intelligence, a platform that includes proprietary speech and speaker recognition technology. We've raised $23 million to date from leading investors, built an awesome team of engineers and speech scientists, and was selected by Zoom Video Communications to power transcription and search for recorded meetings.",US/California,,Series B,,https://otter.ai/careers,1-5,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Daily Harvest,https://www.daily-harvest.com/,Consumer Technology,Nourishing healthy food,US/New York,,Series B,,https://get.daily-harvest.com/join-our-team/,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
75,Attivo Partners,https://www.attivopartners.com/careers,Other,"Attivo Partners is a full-service finance and accounting consulting firm located in San Francisco, California. We provide our emerging growth clients with CFO, accounting, and finance services across industries and at all stages of early growth – from zero to >$50M in revenue.",US/California,At HQ (as listed above),Seed,11-50 FTE,https://jobs.lever.co/attivopartners,1-5,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
76,Underscore.vc,www.underscore.vc,Enterprise Technology,Underscore VC is a Boston based and Boston based earliest stage venture capital firm.,US/Massachusetts,At HQ (as listed above),,11-50 FTE,https://www.underscore.vc/lead-content-producer,1-5,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Genoa Telepsychiatry,http://genoatelepsychiatry.com/,Healthcare,"At Genoa Telepsychiatry we increase access to behavioral healthcare in underserved communities across the U.S. by building telepsychiatry programs that connect patients with psychiatrists & APRNs remotely. Genoa Telepsychiatry is the largest outpatient telepsychiatry community with programs in over 35 states providing 215,000+ appointments annually. Our New York team offers ample career development opportunities in a mission-driven culture valuing empathy, collaboration, grit, and continuous learning.",US/New York,"Remote (post COVID-19), At HQ (as listed above)",,,https://genoatelepsychiatry.com/join-our-team/,1-5,,X,,,X,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,X,,,,,
78,WFG - Transamerica,tfaconnect.com,Other,The best opportunity to succeed in business is right here. We are taking over the financial and marketing industries. This is a great platform to utilize any skills you may have. We are always on the lookout for talent.,US/California,"Remote (post COVID-19), At HQ (as listed above)",,101-500 FTE,,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Jefferies,,Enterprise Technology,Tech investing,US/California,At HQ (as listed above),Series B,101-500 FTE,,1-5,,,,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,X,,X,,,,
80,Fairmarkit,www.fairmarkit.com,Enterprise Technology,Fairmarkit is a plug-in SaaS platform that helps large enterprises with Automatic supplier identification and automatic rfq/req/rfis,US/Massachusetts,"Remote (post COVID-19), At HQ (as listed above)",Series A,51-100 FTE,,6-10,,X,X,X,X,X,X,X,X,X,,,,,,,,X,,X,,,,,X,,,,X,X,,X,,,,,,X,,X,,,
81,Presidential Innovation Fellows,https://presidentialinnovationfellows.gov/apply/,Other,A non-partisan tech fellowship that pairs talented mid-to-senior-level technologists with top government leaders to take on complex projects that have the potential for significant impact.,US/Washington D.C.,At HQ (as listed above),,,https://presidentialinnovationfellows.gov/apply/, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Carry1st,www.carry1st.com,Consumer Technology,#1 mobile games publisher in Africa,South Africa,"Remote (post COVID-19), At HQ (as listed above)",Seed,11-50 FTE,https://apply.workable.com/carry1st/,1-5,,X,,,X,X,X,X,X,X,,,X,,,,,,,,,,,,,,,,X,,,X,,,,,X,,X,X,,,
83,Belvo,www.belvo.co,Enterprise Technology,Belvo (YC W20) is the financial data API platform for Latam,Spain,"At HQ (as listed above), Mexico City HQ",Seed,11-50 FTE,https://recruiterflow.com/belvo/jobs,11-20,,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,X,X,,,,,,,X,,,,,,X,,,,X,X,,
84,Blueprint Title,www.blueprinttitle.com,Consumer Technology,Reimagining Title and Closing for Modern Buyers,US/Tennessee,"Remote (post COVID-19), At HQ (as listed above)",Series A,11-50 FTE,https://jobs.lever.co/blueprinttitle,11-20,,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,X,,X,X,,,X,,X,,,X,,,,,,,,,X
85,Savvy,www.savvyscreen.com,Enterprise Technology,"Savvy makes applying to rental homes faster, cheaper, and more reliable for renters and landlords. We use open banking to make the process more efficient for both sides. For renters, Savvy provides a more transparent, secure, and convenient application process, the ability to build credit through rent payments, and broader access to housing. For leasing managers, Savvy replaces the cumbersome tenant application review process with a simple, fast end-to-end screening solution that provides more reliable data, saving thousands of hours and reducing the risk of tenant defaults. Savvy is backed by Antler VC and New Lab Ventures.",US/New York,Open to best candidates regardless of geography,Seed,1-10 FTE,,1-5,,X,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PubNub,https://www.pubnub.com,Enterprise Technology,We take care of realtime communication infrastructure so you can focus on your app.,US/California,"Remote (post COVID-19), At HQ (as listed above), Poland, London, India, Canada, etc.",,101-500 FTE,https://www.pubnub.com/company/careers/,11-20,,X,,,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,X,,
87,Athlane,www.athlane.com,Enterprise Technology,Bloomberg Terminal for Esports,US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,careers@athlane.com,1-5,,X,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,X,,,
88,Clever,https://clever.com/,Consumer Technology,"We believe technology is a powerful lever to make education equitable for all and the fastest way to improve educational outcomes now. 
 
 Clever unlocks a wealth of digital learning, so teachers can meet each student where they are. Already used by more than 60% of U.S. K-12 schools, Clever brings all applications into one secure portal and provides single sign-on for everyone in the district. Founded by educators and technologists passionate about improving education, Clever is based in San Francisco, California. For more information visit clever.com or follow @Clever on Twitter. 
 
 Together, we’re solving extremely challenging problems that the education system has been facing for decades. It’s important that we also enjoy the journey. At Clever, we create a space for purposeful collaboration and plenty of fun. Our Culture Tenets encourage every person on our team to learn, grow, and create change at work.
 
 We go to work every day striving to improve education for millions of kids. Join us!",US/California,"At HQ (as listed above), Durham, North Carolina",Series B,101-500 FTE,https://clever.com/about/careers,11-20,,X,,X,X,X,X,,,X,,,,,,,,,,,,,X,,,X,,,,,X,,,,X,X,,X,,X,X,,
89,Osmind,https://osmind.org/careers,Healthcare,Care platform for treatment-resistant mental health,US/California,At HQ (as listed above),Pre-Seed,1-10 FTE,https://osmind.org/careers,1-5,,X,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Hungryroot,Hungryroot.com,Other,"Hungryroot is an online grocery service that delivers modern, healthy food with recipe and meal planning support. Hungryroot’s mission is to help people feel their best by making it easier to shop for, cook, and love healthy food.",US/New York,At HQ (as listed above),Series B,11-50 FTE,https://hungryroot.breezy.hr/p/ec81c3358fcb-business-analyst https://hungryroot.breezy.hr/p/47a0b434a1de-customer-service-specialist,1-5,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
91,Render,https://render.com,Enterprise Technology,Render is the easiest platform for developers and businesses to run any application or website in the cloud.,US/California,At HQ (as listed above),Seed,1-10 FTE,https://jobs.lever.co/render,1-5,,X,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Braze,braze.com,Enterprise Technology,Customer Engagement Platform helping brands to humanize their relationships with customers.,US/New York,"New York, San Francisco, Chicago, London, Singapore",Series E+,101-500 FTE,https://www.braze.com/about/careers,11-20,,X,X,,X,X,X,X,,X,X,,,X,,,,X,,,,,,,,,,,X,,X,,X,,,X,X,X,,X,X,,
93,UpMetrics,https://www.upmetrics.com/,Enterprise Technology,"Data Tools for the Social Impact Sector- UpMetrics provides tools and services for operators and funders to analyze, interpret, and learn from data to make informed decisions, build capacity, and tell their stories.",US/California,"Remote (post COVID-19), At HQ (as listed above)",,11-50 FTE,https://www.upmetrics.com/careers.html,6-10,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,X,,X,,X,,X,
94,Frame.io,https://careers.frame.io/,Enterprise Technology,"Frame.io is a Series C video collaboration software headquartered in NYC. We’re backed by Accel, FirstMark, Insight Partners, SignalFire, Jared Leto, and a host of other amazing investors. Our market-leading product is used and loved by companies such as Turner, Disney, NASA, Snapchat, BBC, BuzzFeed, TED, Adobe, Udemy, and many more.",US/New York,Remote (post COVID-19),Series C,101-500 FTE,https://careers.frame.io/,20+,,X,X,X,,X,X,X,X,,X,X,,,,,X,X,,X,X,X,X,,,,,,,,,,,,,,,,,,X,,
95,Nand Capital,,Other,Quantitative hedge fund,US/California,"Remote (post COVID-19), At HQ (as listed above)",,,https://www.linkedin.com/jobs/view/1802650327/,1-5,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Secureframe,Secureframe.com,Enterprise Technology,"Secureframe is on a mission to help companies secure themselves and their customers. We are building software to address problems that affect nearly every modern business, like achieving SOC 2 compliance fast, and for a fraction of the cost.",US/California,At HQ (as listed above),Seed,1-10 FTE,https://www.secureframe.com/careers,1-5,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,WAVE,,Consumer Technology,https://wearewave.tv/,US/California,At HQ (as listed above),Series A,11-50 FTE,https://grnh.se/385ad21c2,11-20,,X,X,X,X,X,X,,,,,,,,,,,,,X,X,X,,,,,,,,X,X,,,X,,,X,,X,X,,,
98,Augmedix,Augmedix.com,,,US/California,,,101-500 FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Forecast,https://www.forecast.app/,Enterprise Technology,"Founded in 2016, we at Forecast are augmenting project-based organizations with intelligent automation so our customers can predict the future, operate at maximum efficiency, and profitably deliver beyond expectations. Our powerful and intuitive AI puts the cumulative skills and learnings from hundreds of thousands of projects to work for every user, every day.
 With customers in over 40+ countries worldwide and growing fast, we’re rapidly scaling our teams in Copenhagen & London so we can continue to help our customers to deliver meaningful and accurate work. Want to be part of a team that’s always innovating, driven to succeed and ready to take on the world? We’d love to hear from you!",Denmark,"At HQ (as listed above), London office",Seed,11-50 FTE,http://jobs.forecast.it/,1-5,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,X,,,,,X
100,Curai,www.curai.com,Healthcare,Healthcare + AI company scaling the world’s best healthcare to everyone through telemedicine,US/California,At HQ (as listed above),Series A,11-50 FTE,https://curai.com/work/workplace-manager,1-5,,,,X,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
101,On Pepper,OnPepper.com,Enterprise Technology,"On Pepper is an intelligent, highly-scalable automation platform (SaaS) for Asset Managers to monitor, visualize, and analyze Deal, Portfolio and Asset data . Pepper manages complex illiquid, private asset transactions, providing asset managers the dashboard and reports for investors, compliance and strategic decision making.",US/New York,Remote (post COVID-19),Seed,1-10 FTE,,1-5,,,X,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,
102,"GitLab, Inc.",gitlab.com,Enterprise Technology,"GitLab is a web-based DevOps lifecycle tool that provides a Git-repository manager providing wiki, issue-tracking and CI/CD pipeline features, using an open-source license, developed by GitLab Inc.",Fully Remote (not only during COVID-19),Remote (post COVID-19),Series E+,501+ FTE,https://about.gitlab.com/jobs/,20+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Alpha HQ,alphahq.com,Enterprise Technology,"Alpha is an end-to-end solution for your customer discovery, feedback, and testing needs, with built-in research guardrails. Teams across your organization can generate quality, defensible data directly sourced from your target markets so they can place smarter bets.",US/New York,"Remote (post COVID-19), At HQ (as listed above)",Series A,11-50 FTE,https://alphahq.com/careers/,1-5,,X,X,,X,,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,
104,Course Hero,https://www.coursehero.com,Consumer Technology,https://www.linkedin.com/company/coursehero/,US/California,At HQ (as listed above),Series B,101-500 FTE,https://www.coursehero.com/jobs/,20+,,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,X,X,,
105,Afresh Technologies,www.afreshtechnologies.com,Enterprise Technology,"At Afresh, we’re solving the big problems around food waste and the fresh food supply chain--focusing first on grocery. We use cutting-edge AI (we’ve been published in ICML!) combined with thoughtful design to enhance decision-making and optimize store workflows. The results are powerful: in live deployments in grocery stores, we have demonstrated the potential to double profits and reduce food waste by 50%+!",US/California,At HQ (as listed above),Series A,11-50 FTE,https://afreshtechnologies.com/join/,6-10,,X,,X,X,X,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,X,,
106,stensul,https://stensul.com/,Enterprise Technology,"Stensul is transforming the way enterprise marketers work. Our email generation platform is centralized, scalable, and pre-configured to each brand. By bypassing all of the back-and-forth with designers, developers and QA, marketers can focus on crafting content that inspires and delivers real results. Build emails in our platform, and then instantly send them out through your ESP or Marketing Cloud. With stensul, marketers are reimagining what’s possible with email.",US/New York,"At HQ (as listed above), Buenos Aires (second location)",Series A,51-100 FTE,https://stensul.com/careers#openings,11-20,,X,,X,X,X,,X,,X,,X,,,,,,,,,,X,X,,,X,,,,X,X,,,,X,,,X,,,X,,
107,Curated,www.curated.com,Consumer Technology,"Curated is a collaborative online shopping experience where you shop with industry experts for complex, high consideration purchases. As a shopper, you'll get unbiased product recommendations and the best deals, handpicked by real human experts.",US/California,At HQ (as listed above),Series A,11-50 FTE,https://hire.withgoogle.com/public/jobs/dealcom,1-5,,X,,X,X,X,,,X,X,,,,,,,,,,,,X,,,,,X,,,,,,,,,,X,,X,,,,
108,CommonStock,CommonStock.com,Consumer Technology,"Communication, News and Data platform for investing, linked to any/all brokerages",US/California,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://commonstock.com/careers/,1-5,,X,X,,,,X,X,,,X,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,
109,Gtmhub,https://gtmhub.com/,Enterprise Technology,"Gtmhub helps organizations bridge the gap between strategy and operational execution. Gtmhub’s platform enables Executives and Managers to amplify staff effort and accelerate growth by connecting Strategic Priorities to daily actions using the Objectives and Key Results (OKRs) methodology employed by Intel, Google and other high performing companies. Only Gtmhub integrates more than 150 CRM, Tasking, Business Intelligence and other commonly used tools directly with Key Results, enabling real-time progress monitoring and active ‘course corrections.’ More than 200 enterprises, not-for-profits and even governments rely on Gtmhub to align and focus their organizations for accelerated growth.",US/Colorado,At HQ (as listed above),Series A,51-100 FTE,https://www.builtincolorado.com/company/gtmhub,1-5,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
110,Unlearn.ai,https://www.unlearn.health/,Healthcare,"Clinical trials are risky and can dramatically extend the time needed to fully develop a new therapy. This profound problem has found a paradigm-transforming solution. Unlearn is a science-first company that has created the first machine learning platform for populating control arms with perfectly matched digital twin subjects. Intelligent control arms expedite patient recruitment, increase study power, and provide patient-level treatment response information. It’s about increasing confidence in trial results. It’s about bringing new medicines to patients faster.
 It’s about time.",US/California,At HQ (as listed above),Seed,11-50 FTE,https://www.unlearn.health/jobs,6-10,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,
111,Catalyst,getcatalyst.io,Enterprise Technology,"Catalyst is the world’s most intuitive Customer Success Platform. We integrate with all the tools you’re already using to provide one centralized view of customer data. Customer Success Managers can now easily prevent churn, increase product adoption, and align every stakeholder on a unified workflow to manage customers throughout their journey.",US/New York,At HQ (as listed above),Series A,11-50 FTE,https://getcatalyst.io/careers,6-10,,X,X,,X,,X,,X,,,,X,,,,,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,
112,One Degree,https://www.1degree.org,Consumer Technology,"One Degree is a nonprofit technology-driven organization that is revolutionizing the way low-income families access community resources. Our mission is to empower people to create a path out of poverty for themselves and for their communities. We believe finding food, shelter, or health services you need should be as easy as ordering on Amazon.
 
 Tens of thousands of people in the San Francisco Bay Area, Los Angeles County and beyond, already rely on One Degree's platform to access health care, food banks, employment services, and much more. One Degree is poised for national growth, seeking to serve millions of low-income families across the US in the coming years.",Fully Remote (not only during COVID-19),Remote (post COVID-19),,11-50 FTE,https://about.1degree.org/director-engineering,1-5,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Cookie.AI, Inc.",Stealth,Enterprise Technology,"Cookie.AI, Inc. is a stealth-mode startup based in the Silicon Valley / Bay Area. We are building SaaS based security products in a dynamic and fast moving world of cybersecurity with ideas rooted in the era of privacy for the cloud. We are well-funded and backed by top-tier VCs and CEOs as angel investors. The founders are serial entrepreneurs who have experience in the full 0-to-1 journey with a successful exit with an acquisition. We are looking for founding engineers (summer interns also welcome!) with strong interests in security / cloud-native systems / identity / SaaS. You will play a critical role in building products that customers will love and gain hands-on experience with cutting-edge technologies, including Infra-as-a-Code, Distributed Streaming/Kafka, ServiceMesh, Observability, and many others from the open source world. We are looking for characteristics such as ambition, commitment to build a company, passion to build products, and intellectual curiosity to innovate! Please reach out: hello@cookie.ai",US/California,"Remote (post COVID-19), VC offices",Seed,1-10 FTE,"Looking for engineers - SaaS, ML/AI, Distributed Systems",1-5,,X,X,,X,X,X,,X,,,,X,X,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,X,,
114,Amino,https://amino.com,Healthcare,"Amino is a San Francisco-based healthcare financial wellness platform that helps companies & their employees navigate the complexities of the US healthcare system & find the highest value care, which has become even more important of late.",US/California,At HQ (as listed above),Series A,11-50 FTE,https://boards.greenhouse.io/aminohealth,6-10,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Hiya,hiya.com,,Robocalling and Spam Protection Services,US/Washington,"Remote (post COVID-19), At HQ (as listed above)",Series B,,hiya.com/careers,,,X,,,X,X,X,,X,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,
116,Swoop,https://swoopapp.com/,Enterprise Technology,"Swoop revolutionizes the way people & companies book and experience group transportation (i.e. charter buses, limos and vans). For independent fleet operators, we help reduce costs and increase revenue. For customers, we provide a more consistent, modern and cheaper group transportation experience.",US/California,At HQ (as listed above),Seed,1-10 FTE,https://jobs.lever.co/swoopapp,1-5,,X,X,,,,X,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
117,Tonkean,www.tonkean.com,Enterprise Technology,"Tonkean uses AI to autonomously coordinate, execute and manage your business workflows, across data and people, so nothing falls through the cracks.
 
 Easily define your workflows from start to finish and decide which elements can be done by a machine and which require a person’s input.",US/California,"At HQ (as listed above), Tel-Aviv",Series A,11-50 FTE,https://tonkean.com/careers/,11-20,,X,X,X,X,X,X,,X,X,,X,X,,,,,,X,X,,X,,X,X,X,X,X,,,X,X,,X,,,X,X,X,,,,
118,Roblox,corp.roblox.com,Consumer Technology,"Roblox’s mission is to bring the world together through play. Every month, more than 115 million people around the world have fun with friends as they explore millions of immersive digital experiences. We believe in building a safe, civil, and diverse community—one that inspires and fosters creativity and positive relationships between people around the world.",US/California,At HQ (as listed above),Series E+,501+ FTE,https://corp.roblox.com/careers/,20+,,X,X,,X,X,X,X,X,X,,,X,,,,X,X,,,,,,,,,,,,,,,,,,X,,,,X,X,,
119,Quid,getquid.com,Consumer Technology,We provide liquidity to shareholders who hold private stock in high-growth technology companies.,US/California,At HQ (as listed above),,1-10 FTE,,1-5,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,X,,X,X,X,,X,X,,,,,,,,,
120,Loom,https://www.loom.com/company,Enterprise Technology,"Loom is video messaging for work. Combining the expressiveness of video with the convenience of messaging, it's a new, more efficient and effective way of communicating with co-workers and customers.
 
 Loom is on a mission to empower everyone at work to communicate more effectively, wherever they are. We are already trusted by over 2M users across 50k+ companies. Our customers are global and use Loom at work at world-class companies including HubSpot, Square, Uber, GrubHub, and LinkedIn.
 
 Founded in 2016, Loom has raised $45 million from top-tier investors including Sequoia Capital, Kleiner Perkins, the Slack Fund, and the founders of Instagram, Figma, and Front.",US/California,"Remote (post COVID-19), At HQ (as listed above)",Series B,51-100 FTE,https://jobs.lever.co/useloom,11-20,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,X,,,
121,Nova Credit,https://www.novacredit.com/,Enterprise Technology,Nova Credit connects international credit bureaus with U.S. institutions so that you can use your international credit history to apply for products and services in the U.S. Using these products can help you build your U.S. credit score.,US/California,"At HQ (as listed above), San Francisco (HQ), New York City",Series B,11-50 FTE,https://jobs.lever.co/neednova,6-10,,X,,X,X,,X,X,X,X,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,
122,Yoni Circle,www.yonicircle.com,Consumer Technology,In-person & digital community that connects womxn more deeply to themselves and others through storytelling. Our app consists of live-virtual storytelling circles with womxn around the world.,US/California,At HQ (as listed above),Pre-Seed,1-10 FTE,,1-5,,X,X,X,,,X,,,X,X,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,
123,XCLAIM,www.x-claim.com,Enterprise Technology,Digital marketplace for trading bankruptcy claims,US/California,At HQ (as listed above),Seed,11-50 FTE,https://jobs.lever.co/x-claim,1-5,,X,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
124,Arcadia,https://www.arcadia.com/,Consumer Technology,"Arcadia is a technology company revolutionizing the energy industry. We make choosing clean energy easy for everyone, no matter where you live or who your utility provider is. Founded in 2014, Arcadia set out with one purpose that continues to drive us today: a 100% clean energy future.",US/Maryland,"Remote (post COVID-19), At HQ (as listed above), Our HQ is in Washington, DC- didn't see that as an option above!",Series C,101-500 FTE,https://www.arcadia.com/careers,1-5,,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Marlo,getmarlo.com,Enterprise Technology,"Marlo is building next-gen meeting interfaces leveraging data from their viral Net Meeting Score measurement tool. 
 
 We've recently raised a Seed (still unannounced) by some large west coast and east coast funds, actively ramping up our team to bring our stealth product to market asap!",US/Texas,"Remote (post COVID-19), At HQ (as listed above)",Seed,1-10 FTE,https://angel.co/company/marlohq/jobs,1-5,,X,X,,,,X,X,X,X,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
126,Mercury,www.mercury.com,Other,Banking for startups.,US/California,At HQ (as listed above),Series A,11-50 FTE,www.mercury.com/jobs,1-5,,,X,X,X,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,,,,
127,Mythical Games,https://mythical.games,Consumer Technology,"Mythical is a next-generation game technology studio. Mythical Games believes that true ownership of digital assets, verifiable scarcity, and integrated secondary markets will spawn a new generation of games. These new economies, based on digital ownership, will bring players, developers, and content creators closer to the games they love.",US/California,"At HQ (as listed above), Seattle, WA | Kansas City, MO",Series A,11-50 FTE,https://mythical.games,6-10,,X,X,X,X,,X,,X,,,X,X,,,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,
128,Kustomer,https://www.kustomer.com/,Enterprise Technology,"At Kustomer, we're reimagining the customer experience - and fast. Join a rapidly growing team that's on a mission to bring customer service into the 21st century.",US/New York,At HQ (as listed above),Series E+,101-500 FTE,https://www.kustomer.com/careers/,6-10,,X,,X,,,X,,X,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
129,Sentry.io,https://sentry.io/,Enterprise Technology,"Sentry provides self-hosted and cloud-based error monitoring that helps all software
 teams discover, triage, and prioritize errors in real-time.",US/California,"At HQ (as listed above), San Francisco, Vienna (Austria), Toronto (Canada)",Series C,101-500 FTE,https://sentry.io/careers/,20+,,X,X,X,X,,X,X,X,X,X,,X,X,,,,X,,,,,X,,X,X,,,,,X,,,X,,,,X,,,,,
130,Wonolo,wonolo.com,Enterprise Technology,"On-demand staffing platform where we match business seeking front-line workers with workers seeking flexible work, Sequoia and Bain Capital backed.",US/California,San Francisco or Nashville,Series C,101-500 FTE,https://jobs.lever.co/wonolo/26f19d15-c46c-4c1b-a4bf-21775b483016,1-5,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,X,,,,,
131,Skupos,https://www.skupos.com/,Enterprise Technology,"Skupos is the leader in driving business outcomes from convenience store scan data. We record billions of transactions every year for forward-thinking stores, brands, and distribution partners around the country.",US/California,"At HQ (as listed above), Denver, CO",Series B,101-500 FTE,https://jobs.lever.co/skupos,6-10,,X,,X,X,X,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,,X,
132,Osmosis,https://www.osmosis.org/,Healthcare,"Our mission is to “Empower the world’s clinicians & caregivers with the best learning experience possible.” To this end, we have an audience of millions of current & future clinicians as well as patients and family members. Members of the Osmosis learning platform and video library use the product to learn efficiently & excel in classes, board exams, and in the clinic.",Fully Remote (not only during COVID-19),Remote (post COVID-19),Series A,51-100 FTE,https://www.osmosis.org/careers,6-10,,,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,
133,Summer,http://www.meetsummer.org/,Consumer Technology,Summer is committed to helping student loan borrowers track their loans and identify the best repayment options based on their unique financial situation.,US/New York,At HQ (as listed above),Series A,11-50 FTE,https://www.meetsummer.org/careers/,1-5,,X,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,
134,DFINITY,www.dfinity.org,Enterprise Technology,"Building The Internet Computer, which extends the functionality of the internet to host software and be a global compute platform.",US/California,"At HQ (as listed above), 2 Bay Area offices, SF and Palo Alto",,51-100 FTE,https://dfinity.org/careers,11-20,,X,,X,X,,X,,X,X,,,X,,,,X,,,,,X,,,,,,,,,,,,,,X,X,,,,,,
135,"Takko, Inc.",takkoapp.com,Consumer Technology,"Takko is the YouTube for short-form content built creators, for creators.",US/California,At HQ (as listed above),Seed,1-10 FTE,https://angel.co/company/for-creators-by-creators/jobs/751321-hiring-software-engineers-for-takko-social-app-located-in-los-angeles,1-5,,X,,X,,,X,,X,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
136,Coursera,https://www.coursera.org/,Other,"Coursera is an ed tech platform that envisions a world where anyone, anywhere can transform their life by accessing the world's best learning experience.",US/California,multiple global offices depending on role,Series E+,101-500 FTE,https://jobs.lever.co/coursera?lever-via=7IckUNtgjU,20+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Neuralink,Neuralink.com,Other,Neuralink is developing ultra-high bandwidth brain-machine interfaces to connect humans and computers. We are building a team of multidisciplinary experts passionate about making a world-changing impact.,US/California,"At HQ (as listed above), San Francisco, CA or Fremont, CA",,51-100 FTE,https://jobs.lever.co/neuralink,11-20,,X,,,,,X,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
